datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
book-crossing,20,2,2,25,25,82.4758341312408,21860.3009438515,21942.7937819958,1.8614241303232908,1.8196223611703704
book-crossing,50,2,2,25,25,144.63534116745,20438.4026660919,20583.0420081615,1.866840037546341,1.8239127194622045
book-crossing,100,2,2,25,25,235.020756959915,21962.9472999573,22197.9853589535,1.8719416889951979,1.822454524625752
book-crossing,5,3,2,50,50,70.6768758296967,44114.4007120132,44185.0816018581,1.902418273312027,1.8837175598556182
book-crossing,20,3,2,50,50,176.119127988815,43748.5875689983,43924.7237119675,1.9057944274062446,1.8832881137579902
book-crossing,50,3,2,50,50,268.241854906082,40925.9198250771,41194.1846699715,1.8994857655303576,1.8585782582410117
book-crossing,100,3,2,50,50,460.834311962128,44006.6030771732,44467.4643850327,1.8910632300195496,1.8449549674640118
book-crossing,5,4,2,75,25,105.359041929245,22084.7276339531,22190.0906770229,1.951539411845685,1.8547244151485922
book-crossing,20,4,2,75,25,232.348589897156,21881.6006579399,22113.979254961,1.9401676201903257,1.8388388238215216
book-crossing,50,4,2,75,25,414.420279026031,20559.9084320068,20974.3327291012,1.9136035315229052,1.818906021771961
book-crossing,100,4,2,75,25,756.194110870361,22043.035394907,22799.233506918,1.8950165522497657,1.8148119851041515
book-crossing,5,1,3,5,5,7.48067307472229,4413.86425280571,4421.3609290123,1.844426713120043,1.8458444699210559
book-crossing,20,1,3,5,5,17.7511029243469,4390.33446884155,4408.10145282745,1.8450280917640622,1.8458880681853114
book-crossing,50,1,3,5,5,30.8272039890289,4087.2567448616,4118.08784985542,1.845693436308518,1.8464882077701374
book-crossing,100,1,3,5,5,50.2614691257477,4399.89493107796,4450.16140198708,1.8475739830311186,1.8464647531834266
book-crossing,5,2,3,25,25,35.6152749061584,22103.5411791801,22139.1604681015,1.8574881278289088,1.8218125819835007
book-crossing,20,2,3,25,25,88.642450094223,21957.3814079762,22046.0278589725,1.8575045377724613,1.814856865240958
book-crossing,50,2,3,25,25,146.727644920349,20488.3985359669,20635.1302008629,1.863434364772435,1.8159986277998712
book-crossing,100,2,3,25,25,232.692650794983,22081.8662080765,22314.5837419033,1.868040203485479,1.8225751317182917
book-crossing,5,3,3,50,50,71.0940330028534,44206.9542679787,44278.0523021221,1.9011323810200713,1.8968288180994257
book-crossing,20,3,3,50,50,171.646926164627,43879.4377889633,44051.0887160301,1.9037987472115465,1.8722838034903606
book-crossing,50,3,3,50,50,287.995734930038,41021.4679398537,41309.4831478596,1.8943484240193356,1.8489999498377836
book-crossing,100,3,3,50,50,470.139668941498,43992.7382872105,44462.88185215,1.8877210168118437,1.8346996814467291
book-crossing,5,4,3,75,25,106.741155862808,22093.1228480339,22199.8820068836,1.9536131351544583,1.8529784861276883
book-crossing,20,4,3,75,25,257.792898893356,21910.6371951103,22168.4340920448,1.9410037023565612,1.8300664796230588
book-crossing,50,4,3,75,25,431.090294122696,20484.2612879276,20915.3745660782,1.9079344365420732,1.8112792627470535
book-crossing,100,4,3,75,25,693.102165937424,22039.1867759228,22732.2927229404,1.8919363951089463,1.808910343030786
book-crossing,5,1,4,5,5,7.74374008178711,4412.04611206055,4419.80686593056,1.8399522181422783,1.8417447572625034
book-crossing,20,1,4,5,5,18.3584668636322,4383.60358214378,4401.96705007553,1.8406307363513115,1.8415955144305658
book-crossing,50,1,4,5,5,30.3069138526917,4094.29027485847,4124.60108184814,1.841423056203703,1.8420329737265018
book-crossing,100,1,4,5,5,50.6663978099823,4403.27706813812,4453.94746994972,1.8428127361803095,1.842531526085563
book-crossing,5,2,4,25,25,36.5634319782257,22079.6258058548,22116.1932399273,1.853788217536116,1.8249452784153681
book-crossing,20,2,4,25,25,89.0403301715851,21885.3697030544,21974.4280781746,1.852912575166789,1.8060880725656332
book-crossing,50,2,4,25,25,147.371345043182,20480.0387270451,20627.4140720367,1.859678740460254,1.8124427151301479
book-crossing,100,2,4,25,25,234.206175088882,22009.9428160191,22244.1749970913,1.8609799693060296,1.8126757909823978
book-crossing,5,3,4,50,50,71.6821799278259,44164.1993989944,44235.8855788708,1.894512289894061,1.8808260309634741
book-crossing,20,3,4,50,50,178.616388082504,43908.5465860367,44087.1809091568,1.8984308269849526,1.8699642989111132
book-crossing,50,3,4,50,50,282.289294958115,41343.5810549259,41625.8893740177,1.8915913696682394,1.8470603266854757
book-crossing,100,3,4,50,50,465.872328996658,44053.7458949089,44519.6222047806,1.8794008760677559,1.8302002270344726
book-crossing,5,4,4,75,25,105.983173131943,22083.9783420563,22189.9775180817,1.942906547287753,1.8480174267527465
book-crossing,20,4,4,75,25,241.382624149323,21932.3146440983,22173.701513052,1.9350202087220567,1.8285554388247993
book-crossing,50,4,4,75,25,429.862520217896,20555.0709109306,20984.937431097,1.9052716863090917,1.8031065009993914
book-crossing,100,4,4,75,25,694.046274900436,22031.1546618938,22725.2229418755,1.8835166546068511,1.804447593225268
book-crossing,5,1,5,5,5,7.48970293998718,4412.53494215012,4420.04363894463,1.8431988737225098,1.8448559252780266
book-crossing,20,1,5,5,5,17.3228759765625,4384.66038990021,4401.98727798462,1.843603363030712,1.844011995172341
book-crossing,50,1,5,5,5,30.9629681110382,4096.27126502991,4127.23823404312,1.8445560266519818,1.8453713396348264
book-crossing,100,1,5,5,5,49.9145600795746,4406.56268000603,4456.48127603531,1.8466025658148184,1.8462195558789056
book-crossing,5,2,5,25,25,35.9171228408813,22095.2861380577,22131.2082619667,1.8552276673432588,1.8282180819862317
book-crossing,20,2,5,25,25,84.6060202121735,21924.3801379204,22008.9901590347,1.8579011759842095,1.808660634662353
book-crossing,50,2,5,25,25,145.664963960648,20540.5254421234,20686.2072651386,1.8618412968390328,1.8127655854447868
book-crossing,100,2,5,25,25,234.244043111801,22045.4035129547,22279.6685431004,1.866791863017094,1.8208719931556334
book-crossing,5,3,5,50,50,71.2881779670715,44193.6604828835,44264.9526720047,1.89778383243374,1.8917524077732883
book-crossing,20,3,5,50,50,177.310169935226,43897.3979260921,44074.7311079502,1.9030502830772176,1.8754739234172462
book-crossing,50,3,5,50,50,275.146493911743,40958.0516281128,41233.2021229267,1.894235079202982,1.8513605329288583
book-crossing,100,3,5,50,50,466.958508014679,43966.9239330292,44433.9045112133,1.8854704813816434,1.8358840080289012
book-crossing,5,4,5,75,25,106.609327077866,22096.5002379417,22203.1135489941,1.9483478045877718,1.8621291384643204
book-crossing,20,4,5,75,25,255.602142810822,21929.2821829319,22184.8884518147,1.9378856646916252,1.832866615337614
book-crossing,50,4,5,75,25,431.762068033218,20493.524750948,20925.3098239899,1.9085807103018806,1.8127129393573302
book-crossing,100,4,5,75,25,694.660732984543,22076.5327880383,22771.1974208355,1.8894735598885246,1.809296967015081
