datasets,lf,iter,cv,max_epoch_pmf,max_epoch_bpmf,pmf_time,bpmf_time,total_time,pmf_rmse,bpmf_rmse
ML10M,100,2,2,25,25,4042.10791897774,20992.6164469719,25034.7283511162,0.8393016128513224,0.7745452792499533
ML10M,5,3,2,50,50,1695.03489303589,38147.7010011673,39842.7599031925,0.8106985840927232,0.8071044594761166
ML10M,20,3,2,50,50,2701.81100201607,38491.684527874,41193.5255358219,0.8013861371167718,0.7768217699010902
ML10M,50,3,2,50,50,4851.01647520065,39364.2619690895,44215.2974491119,0.8343063992320204,0.771227924956717
ML10M,100,3,2,50,50,8015.64990711212,41729.5823140144,49745.2592170238,0.8688735647589204,0.7711278006113167
ML10M,5,4,2,75,25,2514.68052482605,18958.142800808,21472.8443307877,0.8111630782655948,0.8075106832801194
ML10M,20,4,2,75,25,3974.9028339386,19129.6392240524,23104.546061039,0.8060048348411603,0.7777420551517688
ML10M,50,4,2,75,25,7074.53191709518,19613.9563150406,26688.5152189732,0.8461180063519387,0.7724773335032891
ML10M,100,4,2,75,25,11981.3838341236,20959.4788250923,32940.8666601181,0.8847303860051606,0.7721477732474196
ML10M,5,1,3,5,5,170.950626134872,3813.15183401108,3984.10646009445,0.8724610517421298,0.817134500725235
ML10M,20,1,3,5,5,269.288329124451,3841.45313882828,4110.74545192719,0.8619729752305697,0.7993038003087108
ML10M,50,1,3,5,5,484.49079990387,3948.90065979958,4433.39545989037,0.8549147014768153,0.7968762333835477
ML10M,100,1,3,5,5,814.432164907455,4200.27475094795,5014.7109348774,0.8516472756758932,0.7959238270817072
ML10M,5,2,3,25,25,848.102982997894,19073.2937290668,19921.420717001,0.8138081069024733,0.8072384224254707
ML10M,20,2,3,25,25,1343.69189214706,19242.4079310894,20586.1038241386,0.7974217777393086,0.7786953545268149
ML10M,50,2,3,25,25,2467.47689199448,19729.3199300766,22196.8008210659,0.8160448712436624,0.7746322462892689
ML10M,100,2,3,25,25,4035.99050402641,20995.6419379711,25031.6354420185,0.8396900014314957,0.7745344013640683
ML10M,5,3,3,50,50,1700.00182580948,38149.8413529396,39849.8651819229,0.8109742089165586,0.8068443416176851
ML10M,20,3,3,50,50,2697.77755594254,38510.6473119259,41208.4288849831,0.801447709313854,0.7767148417617845
ML10M,50,3,3,50,50,4766.68439292908,39468.5150260925,44235.2224240303,0.8347420048393066,0.7713585778731407
ML10M,100,3,3,50,50,8056.84277582169,42010.9257330894,50067.7725110054,0.8694704219718244,0.7711198420256201
ML10M,5,4,3,75,25,2545.99641990662,19074.7649447918,21620.7863688469,0.8111873662495492,0.8072367198492687
ML10M,20,4,3,75,25,4058.25768089294,19242.9161047935,23301.1777868271,0.8061062780466118,0.7778421508897679
ML10M,50,4,3,75,25,7232.67730402946,19741.023250103,26973.7045550346,0.8466007647299938,0.772555248284826
ML10M,100,4,3,75,25,12083.892539978,20999.5895810127,33083.5101680756,0.8854245392641353,0.772346542776612
ML10M,5,1,4,5,5,172.34844493866,3808.9500849247,3981.30253100395,0.8710192316305366,0.8153822037621902
ML10M,20,1,4,5,5,278.907912015915,3846.08932209015,4125.00123500824,0.8613873736436521,0.798975401355577
ML10M,50,1,4,5,5,485.540967941284,3941.72241783142,4427.2673869133,0.8541343257729994,0.7961569788934841
ML10M,100,1,4,5,5,817.080211162567,4205.73045110703,5022.81466317177,0.8508326439976487,0.7952081417418401
ML10M,5,2,4,25,25,850.686640024185,19236.2982749939,20086.9889130592,0.8107189520950563,0.806847577644819
ML10M,20,2,4,25,25,1334.88866996765,19449.7729411125,20784.6856169701,0.7966017018259297,0.7780633638315796
ML10M,50,2,4,25,25,2502.48618292809,19745.1564540863,22247.6466300488,0.8148463595614934,0.7741264117502565
ML10M,100,2,4,25,25,4020.76735210419,21006.840004921,25027.6293530464,0.8389535626288747,0.7738967384801396
ML10M,5,3,4,50,50,1710.29838991165,38178.0605120659,39888.3629031181,0.8098135943846863,0.8062723563889092
ML10M,20,3,4,50,50,2698.56664896011,38506.064622879,41204.6492769718,0.8007653595435276,0.7761225850314264
ML10M,50,3,4,50,50,4775.73597097397,39259.8738760948,44035.6338551044,0.8339911880441268,0.7707370558080742
ML10M,100,3,4,50,50,7946.75435018539,41772.4530172348,49719.2333562374,0.8688634391117505,0.7705471393733908
ML10M,5,4,4,75,25,2515.56356501579,19047.4993069172,21563.0878770351,0.8103155556296232,0.8066768606266692
ML10M,20,4,4,75,25,4020.84567499161,19257.0588881969,23277.9085640907,0.8055614685322865,0.7771962680652247
ML10M,50,4,4,75,25,7202.72491312027,19748.3726580143,26951.1155760288,0.8459479486210103,0.7719185585949218
ML10M,100,4,4,75,25,12032.3827700615,21011.4814209938,33043.8851959705,0.8848048157351198,0.7716404779538237
ML10M,5,1,5,5,5,169.783264875412,3814.42048001289,3984.20674490929,0.8709270957099158,0.8161267855224137
ML10M,20,1,5,5,5,277.262373924255,3850.8890068531,4128.15638184547,0.8609260085914003,0.7988832415400824
ML10M,50,1,5,5,5,482.967334032059,3950.45477294922,4433.42609596252,0.854064018461923,0.7961699621473107
ML10M,100,1,5,5,5,824.933122873306,4205.51639103889,5030.45351600647,0.850495464855474,0.7951182514880394
ML10M,5,2,5,25,25,854.655910968781,19084.5736420155,19939.2335538864,0.8112857543990694,0.8069423885540045
ML10M,20,2,5,25,25,1358.36666107178,19259.7866239548,20618.1742901802,0.7973030731906536,0.7780757298453785
ML10M,50,2,5,25,25,2396.30451798439,19753.9942700863,22150.3258121014,0.8152113219481489,0.774130587461871
ML10M,100,2,5,25,25,4019.56356310844,21018.5976121426,25038.1651761532,0.8386863979353467,0.7738493796293269
